id,detail_url,title,location,timeline_hours,area_m2,bedrooms,bathrooms,floors,frontage,price_million_vnd
168020,https://batdongsan.vn/ban-nha-nguyen-trai-thanh-xuan-gan-pho-gan-royal-city-15m2-458-ty-r168020,"Bán nhà Nguyễn Trãi, Thanh Xuân, gần phố, gần Royal City, 15m2, 4.58 tỷ","Thanh Xuân, Hà Nội",3600,15.0,3.0,3.0,4.0,False,4580.0
168053,https://batdongsan.vn/45-ty-toa-nha-sieu-vip-trung-kinh-cau-giay-phu-hop-cho-thue-van-phong-r168053,"45 tỷ-tòa nhà siêu VIP Trung Kính, Cầu Giấy-phù hợp cho thuê văn phòng","Cầu Giấy, Hà Nội",3600,125.0,6.0,5.0,,False,45000.0
168019,https://batdongsan.vn/sieu-pham-pho-vien-34m2-x-5t-o-to-do-cua-72-ty-r168019,SIÊU PHẨM Phố Viên – 34m² x 5T – Ô tô đỗ cửa – 7.2 tỷ,"Bắc Từ Liêm, Hà Nội",3600,34.0,3.0,,5.0,False,7200.0
168021,https://batdongsan.vn/ban-nha-mat-pho-91m2-mtkd-duong-vuon-lai-q-tan-phu-144-ty-r168021,"Bán nhà mặt phố 91m² - MTKD Đường Vườn Lài, Q. Tân Phú  - 14,4 tỷ","Tân Phú, Hồ Chí Minh",3600,91.0,3.0,3.0,2.0,True,14400.0
168045,https://batdongsan.vn/hiem-ban-rat-gap-nha-dep-mtkd-duong-ba-trac-p1-q8-dt-66m2-45x-14m-2t-2pn-2wc-chi-72-ty-r168045,"HIẾM, BÁN RẤT GẤP NHÀ ĐẸP MTKD DƯƠNG BÁ TRẠC [P1, Q8] DT: 66M2 (4.5X 14M) 2T, 2PN, 2WC CHỈ 7.2 TỶ","Quận 8, Hồ Chí Minh",3600,66.0,2.0,2.0,,False,7200.0
168052,https://batdongsan.vn/chung-cu-bo-tu-lenh-thu-do-ha-dong-lo-goc-4-ngu-3-wc-rong-dep-o-ngay-co-slot-o-to-125m-54-ty-r168052,"CHUNG CƯ BỘ TƯ LỆNH THỦ ĐÔ, HÀ ĐÔNG, LÔ GÓC 4 NGỦ, 3 WC RỘNG ĐẸP, Ở NGAY - CÓ SLOT Ô TÔ 125M 5.4 TỶ","Hà Đông, Hà Nội",3600,126.0,4.0,3.0,,False,5400.0
168043,https://batdongsan.vn/khu-vip-bau-cat-hxt-thong-122m2-kinh-doanh-da-nganh-nhinh-13-ty-r168043,KHU VIP BÀU CÁT – HXT THÔNG – 122M² – KINH DOANH ĐA NGÀNH. NHỈNH 13 TỶ.,"Tân Bình, Hồ Chí Minh",3600,122.0,4.0,3.0,,False,13780.0
168046,https://batdongsan.vn/ban-nha-nguyen-chanh-trung-hoa-cau-giay-51m2-83-ty-r168046,"BÁN NHÀ NGUYỄN CHÁNH – TRUNG HÒA – CẦU GIẤY - 51M2 - 8,3 TỶ","Cầu Giấy, Hà Nội",3600,51.0,5.0,5.0,,False,8300.0
168013,https://batdongsan.vn/ban-nha-91m2-mat-tien-kinh-doanh-duong-vuon-lai-tan-phu-r168013,Bán nhà 91m2 Mặt Tiền Kinh Doanh - Đường Vườn Lài - Tân Phú,"Tân Phú, Hồ Chí Minh",3600,91.0,3.0,3.0,,True,14400.0
168034,https://batdongsan.vn/ban-nha-hong-tien-26-ty-75m-mat-tien-6m-phan-lo-o-tokinh-doanhlong-bien-r168034,"BÁN NHÀ HỒNG TIẾN 26 tỷ 75m MẶT TIỀN 6m PHÂN LÔ Ô TÔ,KINH DOANH,LONG BIÊN","Long Biên, Hà Nội",3600,75.0,5.0,5.0,,True,26000.0
168054,https://batdongsan.vn/ban-nha-hoang-liet-hoang-mai-gan-o-to-gan-ho-linh-dam-36m2-65-ty-r168054,"Bán nhà Hoàng Liệt, Hoàng Mai, gần ô tô, gần hồ Linh Đàm, 36m2, 6.5 tỷ","Hoàng Mai, Hà Nội",3600,36.0,4.0,3.0,4.0,False,6500.0
167995,https://batdongsan.vn/can-ho-dich-vu-ngang-khung-400m2-dong-tien-27-tynam-gia-chi-45-ty-r167995,CĂN HỘ DỊCH VỤ NGANG KHỦNG – 400M² – DÒNG TIỀN 2.7 TỶ/NĂM – GIÁ CHỈ 45 TỶ,"Quận 2, Hồ Chí Minh",3600,400.0,50.0,50.0,6.0,False,45000.0
168023,https://batdongsan.vn/ban-nha-mat-pho-91m2-mtkd-duong-vuon-lai-tan-phu-3pn-144-ty-r168023,"Bán nhà mặt phố 91m² - MTKD Đường Vườn Lài, Tân Phú - 3PN - 14,4 tỷ","Tân Phú, Hồ Chí Minh",3600,91.0,3.0,3.0,2.0,True,14400.0
168024,https://batdongsan.vn/nha-duc-thang-37m2-x-5t-gan-hc-tai-chinh-79-ty-r168024,Nhà Đức Thắng – 37m² x 5T – Gần HC tài chính – 7.9 tỷ,"Bắc Từ Liêm, Hà Nội",3600,37.0,3.0,,5.0,False,7900.0
167994,https://batdongsan.vn/can-goc-2-mt-xe-hoi-ngu-trong-nha-123m2-chi-128-ty-nguyen-thi-tan-p2-q8-r167994,"CĂN GÓC 2 MT – XE HƠI NGỦ TRONG NHÀ – 123M² – CHỈ 12.8 TỶ
📍 Nguyễn Thị Tần, P.2, Q.8","Quận 8, Hồ Chí Minh",3600,123.0,,,3.0,False,12800.0
167999,https://batdongsan.vn/ban-nha-ha-huy-giap-quan-12-823m2-chi-395-ty-dien-tich-823m2-ngang-4m-x-dai-r167999,"🏡 BÁN NHÀ HÀ HUY GIÁP, QUẬN 12 – 82.3m² – CHỈ 3.95 TỶ 

🔹 Diện tích: 82.3m² (ngang 4m x dài","Quận 12, Hồ Chí Minh",3600,82.0,3.0,1.0,,False,3950.0
168025,https://batdongsan.vn/ban-nha-dt-91m2-mat-tien-kinh-doanh-duong-vuon-lai-tan-phu-r168025,Bán nhà DT 91m2 Mặt Tiền Kinh Doanh - Đường Vườn Lài - Tân Phú,"Tân Phú, Hồ Chí Minh",3600,91.0,3.0,3.0,2.0,True,14400.0
168030,https://batdongsan.vn/hoa-hau-pho-truong-dinh-full-noi-that-2-thoang-tuong-lai-mat-pho-35m2-gia-7-ty-r168030,HOA HẬU PHỐ TRƯƠNG ĐỊNH FULL NỘI THẤT 2 THOÁNG TƯƠNG LAI MẶT PHỐ 35M2 GIÁ 7 TỶ,"Hai Bà Trưng, Hà Nội",3600,35.0,3.0,4.0,5.0,True,7000.0
168005,https://batdongsan.vn/ban-nha-quan-tan-binh-lac-long-quan-dt-36-x-7-m-gia-465-ty-r168005,"Bán nhà Quận Tân Bình, Lạc Long Quân, DT 3.6 x 7 m, Giá 4.65 tỷ","Tân Bình, Hồ Chí Minh",3600,75.0,3.0,3.0,2.0,False,4650.0
168004,https://batdongsan.vn/co-can-nha-lau-gan-cong-ty-changsin-chi-500-trieu-so-huu-r168004,CÓ CĂN NHÀ LẦU GẦN CÔNG TY CHANGSIN CHỈ 500 TRIỆU SỞ HỮU,"Vĩnh Cửu, Đồng Nai",3600,86.0,4.0,2.0,1.0,False,2000.0
168033,https://batdongsan.vn/nha-quan-nhan-33x5t-so-vuong-ngo-ba-gac-noi-that-dep-gia-7-ty-r168033,"Nhà Quan Nhân, 33x5T, sổ vuông, ngõ ba gác, nội thất đẹp. Giá 7 tỷ","Thanh Xuân, Hà Nội",3600,33.0,5.0,5.0,,False,7000.0
168032,https://batdongsan.vn/nha-dep-pho-vien-36m2-x-5t-gan-o-to-78-ty-r168032,Nhà đẹp Phố Viên – 36m² x 5T – Gần ô tô – 7.8 tỷ,"Bắc Từ Liêm, Hà Nội",3600,36.0,3.0,,5.0,False,7800.0
168007,https://batdongsan.vn/vip-2-mat-tien-ta-quang-buu-836m2-kinh-doanh-o-chi-11-ty-r168007,💥 VIP 2 MẶT TIỀN TẠ QUANG BỬU – 83.6M² – KINH DOANH & Ở – CHỈ 11 TỶ,"Quận 8, Hồ Chí Minh",3600,84.0,7.0,9.0,1.0,True,11000.0
168057,https://batdongsan.vn/ban-nha-cap-4-2-mat-hem-115m2-ngay-hoang-huu-nam-long-thanh-my-6-ty-tl-r168057,"BÁ.N nhà cấp 4 2 mặt hẻm, 115m² ngay Hoàng Hữu Nam, Long Thạnh Mỹ – 6 tỷ TL","Quận 9, Hồ Chí Minh",3600,115.0,1.0,1.0,,False,6000.0
168061,https://batdongsan.vn/can-ban-nhanh-nha-tay-son-dong-da-22m-x5t-chi-525-ty-r168061,"CẦN BÁN NHANH NHÀ TÂY SƠN-ĐỐNG ĐA. 22M X5T. CHỈ 5,25 TỶ","Đống Đa, Hà Nội",3600,22.0,3.0,4.0,5.0,False,5200.0
168066,https://batdongsan.vn/ban-nha-moi-duong-xe-hoi-hem-duong-ngo-den-phuong-bac-nha-trang-r168066,"Bán nhà mới đường Xe hơi, Hẻm đường Ngô Đến phường Bắc Nha Trang.","Nha Trang, Khánh Hòa",3600,70.0,3.0,2.0,2.0,False,55.0
168090,https://batdongsan.vn/giam-6-ty-ban-gap-mat-tien-6x30-le-quang-dinh-gia-ban-195-ty-r168090,"Giảm 6 tỷ bán gấp mặt tiền 6x30 Lê Quang Định, GIÁ BÁN: 19,5 TỶ","Gò Vấp, Hồ Chí Minh",3600,170.0,3.0,,2.0,True,19500.0
168012,https://batdongsan.vn/ban-nha-gan-truong-thpt-duong-van-thi-3-ty-nhinh-60m2-r168012,"BÁN NHÀ GẦN TRƯỜNG THPT DƯƠNG VĂN THÌ, 3 TỶ NHỈNH, 60M2","Quận 9, Hồ Chí Minh",3600,60.0,2.0,1.0,,False,3500.0
168091,https://batdongsan.vn/ban-biet-thu-mat-pho-tu-dinh-long-bien-cuc-pham-o-chat-dong-tien-gia-dau-tu-r168091,Bán biệt thự mặt phố Tư Đình - Long Biên - cực phẩm ở chất - dòng tiền - giá đầu tư,"Long Biên, Hà Nội",3600,120.0,8.0,10.0,8.0,True,61000.0
168095,https://batdongsan.vn/ban-nha-goc-2-mat-tien-vo-tru-giao-mac-dinh-chi-khu-ban-co-dien-tich-cong-nhan-475m2-1-tret-2-r168095,"Bán nhà góc 2 mặt tiền Võ Trứ giao Mạc Đỉnh Chi Khu bàn cờ Diện tích công nhận: 47,5m² 1 trệt, 2","Nha Trang, Khánh Hòa",3600,47.0,,,2.0,True,11500.0
168071,https://batdongsan.vn/khong-co-lan-tiep-theo-240-trieu-la-co-nha-pho-tai-du-an-phuoc-dong-new-city-tai-trang-bang-tay-r168071,KHÔNG CÓ LẦN TIẾP THEO - 240 TRIỆU LÀ CÓ NHÀ PHỐ TẠI DỰ ÁN PHƯỚC ĐÔNG NEW CITY TẠI TRÃNG BÀNG TÂY,"Trảng Bàng, Tây Ninh",3600,64.0,1.0,1.0,,False,1200.0
167966,https://batdongsan.vn/chinh-chu-can-ban-nha-pho-kdc-cityland-parkhill-phuong-10-quan-go-vap-gia-tot-nhat-khu-r167966,"Chính chủ cần bán nhà phố KDC Cityland Parkhill phường 10, Quận Gò vấp. Giá tốt nhất khu","Gò Vấp, Hồ Chí Minh",3600,100.0,6.0,,4.0,False,19600.0
167946,https://batdongsan.vn/ban-can-goc-3-mat-tien-xe-hoi-dau-cua-d-dinh-cong-trang-ptan-dinh-quan-1-san-dong-tien-120-r167946,"BÁN CĂN GÓC 3 MẶT TIỀN XE HƠI ĐẬU CỬA - Đ. ĐINH CÔNG TRÁNG, P.TÂN ĐỊNH, QUẬN 1 - SẴN DÒNG TIỀN 120","Quận 1, Hồ Chí Minh",3600,100.0,,,5.0,True,26500.0
167945,https://batdongsan.vn/ban-nha-cap-4-mat-tien-binh-hung-binh-chanh-gia-37-ti-r167945,"Bán nhà cấp 4 Mặt tiền Bình Hưng, Bình chánh giá 3,7 tỉ","Bình Chánh, Hồ Chí Minh",3600,120.0,5.0,1.0,,True,3700.0
167965,https://batdongsan.vn/sieu-pham-co-thang-may-hxh-duong-duong-quang-ham-phuong-6-go-vap-nha-full-noi-that-vip-r167965,"Siêu phẩm có thang máy HXH đường Dương Quảng Hàm, Phường 6, Gò Vấp, nhà full nội thất vip","Gò Vấp, Hồ Chí Minh",3600,66.0,6.0,,3.0,False,12500.0
167929,https://batdongsan.vn/cmt8-hem-o-to-tranh-nha-dep-5-tang-gan-cong-vien-le-thi-rieng-chi-125-ty-r167929,CMT8 – HẺM Ô TÔ TRÁNH – NHÀ ĐẸP 5 TÂNG – GẦN CÔNG VIÊN LÊ THỊ RIÊNG- CHỈ 12.5 TỶ.,"Tân Bình, Hồ Chí Minh",3600,66.0,5.0,4.0,5.0,False,12500.0
